,gid_3
3475,PHL.12.32.8_1
3476,PHL.12.32.9_1
3477,PHL.12.32.11_1
3479,PHL.12.32.13_1
3480,PHL.12.32.14_1
3481,PHL.12.32.15_1
3482,PHL.12.32.16_1
3483,PHL.12.32.17_1
3484,PHL.12.32.18_1
3485,PHL.12.32.19_1
3486,PHL.12.32.20_1
3491,PHL.12.32.26_1
3493,PHL.12.32.28_1
3494,PHL.12.32.29_1
3496,PHL.12.32.31_1
3497,PHL.12.32.32_1
3499,PHL.12.32.34_1
3500,PHL.12.32.35_1
3501,PHL.12.32.36_1
3502,PHL.12.32.37_1
3503,PHL.12.32.38_1
3504,PHL.12.32.39_1
3505,PHL.12.32.41_1
3506,PHL.12.32.42_1
3507,PHL.12.32.43_1
3508,PHL.12.32.44_1
3509,PHL.12.32.45_1
3510,PHL.12.32.46_1
3511,PHL.12.32.47_1
3515,PHL.12.33.3_1
3519,PHL.12.33.7_1
3520,PHL.12.33.8_1
3522,PHL.12.33.10_1
3523,PHL.12.33.11_1
3527,PHL.12.33.15_1
3528,PHL.12.33.16_1
3532,PHL.12.33.20_1
3553,PHL.12.35.7_1
3570,PHL.12.3.1_1
3572,PHL.12.3.15_1
3573,PHL.12.3.16_1
3574,PHL.12.3.17_1
3578,PHL.12.3.21_1
3579,PHL.12.3.22_1
3586,PHL.12.3.29_1
3591,PHL.12.3.33_1
3592,PHL.12.3.34_1
3593,PHL.12.3.35_1
3594,PHL.12.3.36_1
3597,PHL.12.3.40_1
3598,PHL.12.3.41_1
3601,PHL.12.3.44_1
3605,PHL.12.3.48_1
3614,PHL.12.3.5_1
3615,PHL.12.3.6_1
3624,PHL.12.4.7_1
3633,PHL.12.5.1_1
3634,PHL.12.5.2_1
3635,PHL.12.5.3_1
3636,PHL.12.5.4_1
3637,PHL.12.5.5_1
3638,PHL.12.5.6_1
3639,PHL.12.5.7_1
3641,PHL.12.5.33_1
3642,PHL.12.5.34_1
3643,PHL.12.5.35_1
3645,PHL.12.5.37_1
3646,PHL.12.5.38_1
3648,PHL.12.5.40_1
3649,PHL.12.5.41_1
3653,PHL.12.5.45_1
3654,PHL.12.5.46_1
3655,PHL.12.5.47_1
3656,PHL.12.5.48_1
3661,PHL.12.5.53_1
3662,PHL.12.5.54_1
3663,PHL.12.5.55_1
3667,PHL.12.5.60_1
3668,PHL.12.5.61_1
3672,PHL.12.5.65_1
3675,PHL.12.5.68_1
3677,PHL.12.5.70_1
3678,PHL.12.5.71_1
3683,PHL.12.5.75_1
3687,PHL.12.5.86_1
3689,PHL.12.5.81_1
3692,PHL.12.5.84_1
3693,PHL.12.5.85_1
3694,PHL.12.5.87_1
3698,PHL.12.5.91_1
3699,PHL.12.5.92_1
3700,PHL.12.5.93_1
3701,PHL.12.5.94_1
3703,PHL.12.5.97_1
3708,PHL.12.5.102_1
3709,PHL.12.5.103_1
3710,PHL.12.5.104_1
3711,PHL.12.5.105_1
3713,PHL.12.5.27_1
3714,PHL.12.5.8_1
3715,PHL.12.5.9_1
3716,PHL.12.5.10_1
3717,PHL.12.5.11_1
3718,PHL.12.5.12_1
3719,PHL.12.5.13_1
3720,PHL.12.5.14_1
3721,PHL.12.5.15_1
3722,PHL.12.5.16_1
3723,PHL.12.5.17_1
3724,PHL.12.5.18_1
3725,PHL.12.5.19_1
3726,PHL.12.5.20_1
3727,PHL.12.5.21_1
3728,PHL.12.5.22_1
3729,PHL.12.5.23_1
3730,PHL.12.5.24_1
3731,PHL.12.5.25_1
3732,PHL.12.5.28_1
3733,PHL.12.5.29_1
3734,PHL.12.5.30_1
3735,PHL.12.5.31_1
3737,PHL.12.6.2_1
3738,PHL.12.6.3_1
3741,PHL.12.6.23_1
3742,PHL.12.6.6_1
3745,PHL.12.6.13_1
3749,PHL.12.6.16_1
3755,PHL.12.6.22_1
3759,PHL.12.6.26_1
3767,PHL.12.6.36_1
3772,PHL.12.6.7_1
3774,PHL.12.6.9_1
3775,PHL.12.6.10_1
3777,PHL.12.7.11_1
3778,PHL.12.7.1_1
3779,PHL.12.7.2_1
3785,PHL.12.7.15_1
3786,PHL.12.7.16_1
3787,PHL.12.7.18_1
3788,PHL.12.7.19_1
3789,PHL.12.7.29_1
3791,PHL.12.7.21_1
3793,PHL.12.7.23_1
3794,PHL.12.7.24_1
3795,PHL.12.7.25_1
3798,PHL.12.7.28_1
3799,PHL.12.7.30_1
3800,PHL.12.7.31_1
3801,PHL.12.7.32_1
3802,PHL.12.7.33_1
